image,MEL,NV,BCC,AKIEC,BKL,DF,VASC
ISIC_0033424,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0025363,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0025027,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024913,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0028235,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0028247,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0029061,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ISIC_0028503,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ISIC_0028431,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ISIC_0027563,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ISIC_0026713,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ISIC_0028680,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ISIC_0029017,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024522,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0026968,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0028671,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0026952,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024597,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0032769,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0030204,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0032137,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0033952,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ISIC_0029914,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0029937,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0031648,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ISIC_0024396,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ISIC_0024468,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0025577,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0028949,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0027930,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0031228,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ISIC_0029841,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ISIC_0026876,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ISIC_0031417,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0032008,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0031836,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0024451,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0028146,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ISIC_0026562,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ISIC_0024880,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ISIC_0028095,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0026442,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ISIC_0034000,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ISIC_0033749,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ISIC_0025196,0.0,0.0,0.0,1.0,0.0,0.0,0.0
